Factor,SeparationStrength,Category
MaintenanceHours,0.297,Vital Few (actionable)
DefectRate,0.246,Excluded (tautological)
QualityScore,0.199,Vital Few (actionable)
ProductionVolume,0.129,Vital Few (actionable)
StockoutRate,0.041,Trivial Many (noise)
SupplierQuality,0.038,Trivial Many (noise)
EnergyEfficiency,0.035,Trivial Many (noise)
ProductionCost,0.027,Trivial Many (noise)
SafetyIncidents,0.016,Trivial Many (noise)
InventoryTurnover,0.007,Trivial Many (noise)
AdditiveProcessTime,0.006,Trivial Many (noise)
DeliveryDelay,0.005,Trivial Many (noise)
EnergyConsumption,0.005,Trivial Many (noise)
WorkerProductivity,0.005,Trivial Many (noise)
DowntimePercentage,0.004,Trivial Many (noise)
AdditiveMaterialCost,0.001,Trivial Many (noise)
